kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403879","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,1061890
"403839","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",13/02/2024,26700000
"427618","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",02/02/2024,144150
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",12/02/2024,600000
"238762","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,670450
"403827","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",29/01/2024,89404000
"403828","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,2233990
"626402","032","03212","425912","0000000","0000","000","0","D","0","00000001","0000","2",30/01/2024,556926
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",06/02/2024,109956
"427551","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",29/01/2024,201313
"403823","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",05/01/2024,6600000
"403832","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,1105370
"238762","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",26/01/2024,3000000
"403875","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",05/02/2024,4100000
"403827","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2024,1789340
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",07/02/2024,480000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",13/02/2024,4800000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",13/02/2024,3360000
"653526","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2024,1661550
"403829","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,2376505
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",02/02/2024,300000
"237373","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",18/01/2024,650312
"622035","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",04/01/2024,717126
"622035","032","03212","424118","0000000","0000","000","0","F","0","00000001","0000","2",29/01/2024,2945000
"427511","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",23/01/2024,220000000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",02/02/2024,4350000
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",07/02/2024,25245
"238010","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2024,6969644
"238755","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",06/02/2024,2151169
"427630","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",31/01/2024,10660000
"403820","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",06/02/2024,142494
"622035","032","03212","424119","0000000","0000","000","0","F","0","00000001","0000","2",11/01/2024,16587187
"427511","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,4324285
"427511","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",13/02/2024,4951049
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",11/02/2024,1650000
"238010","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",06/02/2024,4832000
"238010","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",09/01/2024,2490000
"239260","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",30/01/2024,5300000
"239260","032","03212","425621","0000000","0000","000","0","D","0","00000001","0000","2",15/02/2024,75000
