kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403839","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","1905","2",06/02/2024,14927300
"403839","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","1905","2",06/02/2024,16576224
"403839","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","1905","2",07/02/2024,3060000
"403839","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","1905","2",05/02/2024,7605945
"403839","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","1905","2",01/02/2024,7154800
"403839","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","1905","2",01/02/2024,17598060
"427618","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","2151","2",16/02/2024,132998533
"427618","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","2151","2",01/02/2024,12367330
"238755","032","03212","521211","03212DL","2375","SCC","2","A","0","00000001","2151","2",15/02/2024,285533500
"427618","032","03212","521211","03212DL","2376","SAC","2","A","0","00000001","2151","2",16/02/2024,21950000
"427618","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","2151","2",21/02/2024,377588
"427618","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","2151","2",07/02/2024,5763000
"427618","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","2151","2",16/02/2024,20269277
"238755","032","03212","521211","03212WA","2378","EBA","2","A","0","00000001","2151","2",19/02/2024,837000
"427618","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","2151","2",25/01/2024,5763000
"427618","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","2151","2",25/01/2024,4398820
"427618","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","2151","2",25/01/2024,3860000
"238755","032","03212","511611","03212WA","2378","EBA","2","A","0","00000001","2151","2",01/01/2024,35598000
"238755","032","03212","511619","03212WA","2378","EBA","2","A","0","00000001","2151","2",01/01/2024,1006
"238755","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","2151","2",01/01/2024,14527
"634146","032","03212","522151","03212DL","2376","SAC","2","A","0","00000001","3351","2",12/02/2024,7500000
"634146","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","3351","2",21/02/2024,45300000
"403837","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0209","2",01/02/2024,17212340
"403837","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","0209","2",01/01/2024,1665000
"403837","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","0209","7",01/02/2024,-700000
"238762","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","0511","2",21/02/2024,11401300
"238762","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0511","2",29/01/2024,16270000
"238762","032","03212","522191","03212WA","2378","EBA","2","A","0","00000001","0511","2",29/01/2024,12301480
"238762","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","0511","2",05/02/2024,1448400
"238762","032","03212","521211","03212DL","2375","SCC","2","A","0","00000001","0511","2",20/02/2024,1528776000
"238762","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","0511","2",01/02/2024,264818000
"238762","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0511","2",01/02/2024,29100856
"403820","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","2007","2",31/01/2024,7639925
"352595","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","2007","2",21/02/2024,52886163
"352595","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","2007","2",01/01/2024,2245020
"403820","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","2007","2",01/01/2024,350000
"403820","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","2007","2",01/02/2024,144840
"237373","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0354","2",07/02/2024,10767000
"237373","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0354","2",18/01/2024,2022
"239188","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0354","2",01/01/2024,30350962
"239188","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0354","2",01/01/2024,1240692200
"239188","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0354","2",01/02/2024,1800000
"239188","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0354","2",01/02/2024,196260
"237373","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0354","2",01/02/2024,90688
"239188","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","0354","2",01/02/2024,296650
"403875","032","03212","521811","03212DL","2376","SAC","2","A","0","00000001","0953","2",21/02/2024,12810175
"403875","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0953","2",22/01/2024,26744910
"403875","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0953","2",17/01/2024,5759900
"403875","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","0953","2",01/01/2024,296650
"403875","032","03212","511619","03212WA","2378","EBA","2","A","0","00000001","0953","2",01/02/2024,118
"238741","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","0751","2",21/02/2024,1505559364
"403827","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","2201","2",01/03/2024,14698
"403827","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","2201","2",16/02/2024,12150370
"403827","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","2201","2",13/02/2024,110329695
"440013","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","2202","2",19/02/2024,750000
"440013","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","2202","2",19/02/2024,5852000
"440013","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","2202","2",01/01/2024,362100
"403827","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","2201","2",01/01/2024,19440000
"403827","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","2201","2",01/01/2024,6300540
"440013","032","03212","521822","03212DL","2376","SAC","2","A","0","00000001","2202","2",29/01/2024,26956250
"440013","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","2202","2",26/01/2024,49806982
"403827","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","2201","2",17/01/2024,55580
"440013","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","2202","2",01/02/2024,8471760
"403827","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","2201","2",01/02/2024,19440000
"403827","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","2201","2",05/02/2024,1020000
"403827","032","03212","521211","03212WA","2378","EBD","2","A","0","00000001","2201","2",05/02/2024,2000000
"403828","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","1907","2",01/02/2024,1619002200
"403828","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","1907","2",01/01/2024,38000926
"622035","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","0503","2",01/02/2024,72420
"622035","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0503","2",21/02/2024,1219000
"622035","032","03212","522119","03212WA","2378","EBA","2","A","0","00000001","0503","2",21/02/2024,1171050
"427511","032","03212","521211","03212DL","2376","SAC","2","A","0","00000001","0154","2",13/02/2024,17741056
"427511","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","0154","2",13/02/2024,297000
"427511","032","03212","523133","03212WA","2378","EBA","2","A","0","00000001","0154","2",13/02/2024,515000
"626402","032","03212","521111","03212WA","2378","EBA","1","A","0","00000001","0151","2",15/02/2024,410753073
"626402","032","03212","524211","ZZZZZZZ","ZZZZ","ZZZ","1","Z","Z","ZZZZZZZZ","ZZZZ","7",15/02/2024,-12298260
"427511","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0154","2",15/02/2024,36784141
"403821","032","03212","521811","03212WA","2378","EBA","1","A","0","00000001","0152","2",16/02/2024,786000
"403822","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0152","2",16/02/2024,93555
"403835","032","03212","522112","03212WA","2378","EBA","2","A","0","00000001","0151","2",17/01/2024,504401
"626402","032","03212","524111","03212WA","2378","EBD","1","A","0","00000001","0151","2",18/01/2024,5618285
"626402","032","03212","521111","03212WA","2378","EBA","1","A","0","00000001","0151","2",22/02/2024,3885000
"427511","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0154","2",05/02/2024,4748500
"427511","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0154","2",05/02/2024,474850
"427511","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0154","2",05/02/2024,217260
"427511","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0154","2",05/02/2024,94970
"403836","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","0152","2",07/02/2024,250937135
"403821","032","03212","511619","03212WA","2378","EBA","1","A","0","00000001","0152","2",01/02/2024,301
"626402","032","03212","511121","03212WA","2378","EBA","1","A","0","00000001","0151","2",25/01/2024,12160
"626402","032","03212","524111","03212DL","2376","AFA","1","A","0","00000001","0151","2",01/02/2024,818500
"626402","032","03212","511123","03212WA","2378","EBA","1","A","0","00000001","0151","2",01/02/2024,14520000
"403836","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","0152","2",01/02/2024,25724000
"403821","032","03212","522111","03212WA","2378","EBA","1","A","0","00000001","0152","2",15/01/2024,45115393
"626402","032","03212","522111","03212WA","2378","EBA","1","A","0","00000001","0151","2",12/01/2024,178631218
"626402","032","03212","511123","03212WA","2378","EBA","1","A","0","00000001","0151","2",01/01/2024,14520000
"403836","032","03212","511622","03212WA","2378","EBA","2","A","0","00000001","0152","2",01/01/2024,105888
"403822","032","03212","511628","03212WA","2378","EBA","2","A","0","00000001","0152","2",21/02/2024,777000
"403821","032","03212","512411","03212WA","2378","EBA","1","A","0","00000001","0152","2",19/02/2024,4710942
"239260","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","1753","2",16/02/2024,60869956
"239260","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","1753","2",21/02/2024,24066371
"239260","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","1753","2",01/01/2024,945601700
"238010","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","1753","2",01/01/2024,658108
"238010","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","1753","2",02/02/2024,19497800
"238010","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","1753","2",13/02/2024,7186500
"239260","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","1753","2",01/02/2024,3860000
"238010","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","1753","2",01/02/2024,4745000
"403833","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","3102","2",01/02/2024,22869600
"403833","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","3102","2",22/02/2024,352000
"427551","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0601","2",01/01/2024,13614960
"427551","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","0601","2",01/01/2024,72420
"403817","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","0855","2",12/02/2024,4246500
"403823","032","03212","511619","03212WA","2378","EBA","2","A","0","00000001","1151","2",01/01/2024,3378
"652009","032","03212","512414","03212WA","2378","EBA","2","A","0","00000001","1206","2",01/02/2024,3575854
"652009","032","03212","511611","03212WA","2378","EBA","2","A","0","00000001","1206","2",01/02/2024,2647200
"652009","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","1206","2",01/02/2024,360000
"652009","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","1206","2",15/02/2024,7182000
"652009","032","03212","522151","03212DL","2376","SAC","2","A","0","00000001","1206","2",19/02/2024,7280000
"652009","032","03212","521811","03212DL","2376","SAC","2","A","0","00000001","1206","2",16/02/2024,2600000
"652009","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","1206","2",17/01/2024,2640000
"653526","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0211","2",30/01/2024,12280100
"403832","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","0211","2",13/02/2024,111654252
"653526","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0211","2",13/02/2024,24445000
"403824","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","0210","2",01/01/2024,6516000
"653526","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0211","2",01/01/2024,139322600
