kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"622035","032","03212","525126","03212DL","2376","SAC","2","F","0","00000001","0503","2",1340325000
"622035","032","03212","511628","03212WA","2378","EBA","2","A","0","00000001","0503","2",21600000
"622035","032","03212","525129","03212DL","2376","ABW","2","F","0","00000001","0503","2",4500000
"622035","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0503","2",91000
"403821","032","03212","511151","03212WA","2378","EBA","1","A","0","00000001","0152","2",129300000
"427511","032","03212","524113","03212WA","2378","EBA","2","A","0","00000001","0154","2",3750000
"403836","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","0152","2",124380000
"403835","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0151","2",162468000
"626402","032","03212","521211","03212WA","2378","EBA","1","A","0","00000001","0151","2",452924000
"626402","032","03212","523121","03212WA","2378","EBA","1","A","0","00000001","0151","2",4112770000
"427511","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","0154","2",1768158000
"403821","032","03212","521114","03212WA","2378","EBA","1","A","0","00000001","0152","2",14664000
"626402","032","03212","511621","03212WA","2378","EBA","1","A","0","00000001","0151","2",4200000
"403836","032","03212","511622","03212WA","2378","EBA","2","A","0","00000001","0152","2",1500000
"403821","032","03212","511126","03212WA","2378","EBA","1","A","0","00000001","0152","2",308461000
"427511","032","03212","533121","03212DL","2376","RBJ","2","D","0","00000001","0154","2",1131988000
"626402","032","03212","524111","03212DL","2376","AFA","1","A","0","00000001","0151","2",575445000
"427511","032","03212","522141","03212DL","2376","SAC","2","A","0","00000001","0154","2",1553879000
"427511","032","03212","522191","03212WA","2378","EBA","2","A","0","00000001","0154","2",3019790000
"403821","032","03212","521211","03212WA","2378","EBD","1","A","0","00000001","0152","2",91873000
"626402","032","03212","524111","03212WA","2378","EBA","1","A","0","00000001","0151","2",9793055000
"403821","032","03212","511621","03212WA","2378","EBA","1","A","0","00000001","0152","2",17286000
"427511","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","0154","2",2400000
